case,s-corona,r-corona,r,s,3 discs density,density,type,minpoly r,minpoly s,1-discs,r-discs,s-discs,111,11r,11s,1rr,1rs,1ss,rrr,rrs,rss,sss,minpoly density
132,1rsr,1111ss,0.575385,0.194146,0.917705,0.917705,L,2*r^3 + 7*r^2 + 4*r - 5,4*s^3 + 5*s - 1,2,2,2,0,6,0,0,4,0,0,0,2,0,524288000*x^6 - 147679488*x^4 + 32049760*x^2 - 1985281
133,1rsr,111r1ss,0.882604,0.259471,0.913852,0.913852,L,r^10 + 4*r^9 - 60*r^8 - 396*r^7 - 586*r^6 - 36*r^5 - 1308*r^4 - 3748*r^3 - 607*r^2 + 3088*r + 1600,16*s^10 + 32*s^9 + 24*s^8 + 56*s^7 + 153*s^6 - 12*s^5 + 126*s^4 - 92*s^3 - 7*s^2 - 56*s + 16,2,2,2,0,4,0,2,4,0,0,0,2,0,33554432000*x^10 + 520968208384*x^9 - 788403572736*x^8 + 418685796352*x^7 + 4968213059072*x^6 + 4956530470912*x^5 + 2077974038192*x^4 + 387525835456*x^3 - 37673868200*x^2 + 3598812832*x - 35649751633
134,1rsr,111s1sss,0.787693,0.240919,0.920396,0.920396,L,4*r^3 + r^2 - 2*r - 1,8*s^3 + 7*s^2 + 2*s - 1,1,1,2,0,2,0,0,4,0,0,0,2,0,640*x^3 + 148*x^2 + 28*x - 37
135,1rsr,111ss,0.253693,0.103129,0.938718,0.938718,E,5*r^6 + 2*r^5 - 29*r^4 - 20*r^3 + 15*r^2 - 6*r + 1,16*s^6 + 32*s^5 + 24*s^4 + 16*s^3 + s^2 - 10*s + 1,1,2,2,0,4,0,0,4,0,0,0,2,0,10240000*x^6 - 44195840*x^5 - 99127808*x^4 - 61870208*x^3 - 9234284*x^2 + 4034560*x + 2157697
136,1rsr,11r1ss,0.464796,0.166169,0.924522,0.924522,L,2*r^5 + 13*r^4 + 22*r^3 - 4*r - 1,8*s^5 + 4*s^4 + 6*s^3 + 11*s^2 + 4*s - 1,1,2,2,0,2,0,2,4,0,0,0,2,0,4294967296*x^10 - 21740126208*x^8 + 41639952384*x^6 - 22216322816*x^4 + 18578657100*x^2 - 1468192489
137,1rsr,11rr1ss,0.848181,0.252889,0.913256,0.913256,H,81*r^24 + 216*r^23 - 25020*r^22 - 241272*r^21 + 1013970*r^20 + 25220232*r^19 + 134890708*r^18 + 275854616*r^17 + 196210991*r^16 - 559071760*r^15 - 3221990392*r^14 - 5058440240*r^13 - 163875396*r^12 + 4442469520*r^11 + 2898112072*r^10 + 55214256*r^9 - 660134465*r^8 - 357773640*r^7 - 119494476*r^6 - 31961304*r^5 - 4708206*r^4 + 682344*r^3 + 469476*r^2 + 87480*r + 6561,331776*s^24 + 221184*s^23 + 92160*s^22 + 2525184*s^21 + 11161344*s^20 + 6524928*s^19 - 18361088*s^18 - 4441856*s^17 + 32503536*s^16 + 19207264*s^15 + 3937064*s^14 - 974040*s^13 - 33494815*s^12 - 32534924*s^11 + 9170794*s^10 + 21069100*s^9 + 4622831*s^8 - 3464056*s^7 - 1545580*s^6 + 83360*s^5 + 139471*s^4 + 7332*s^3 - 3078*s^2 - 756*s + 81,7,6,6,6,6,0,6,12,0,2,0,6,0,1745184858965935656734454566709362688*x^24 - 8215620510959373732295439060802994176*x^23 - 2358547549209114967771997419630592262144*x^22 + 13998756807504079738256429758240021020672*x^21 - 106411060235560194281412972598629752635392*x^20 + 755017877637627243644365799024063517032448*x^19 - 2719488377036954795798109370256328241446912*x^18 + 10619434946995160431648097716357452477235200*x^17 - 13643493944204578360824217639888193511751680*x^16 - 129481256123737593965170776091271090367627264*x^15 + 779152390410364734122490083482234541934379008*x^14 - 1969331475832315493038314180854135351789223936*x^13 + 1951156651986976408720164562137208275836841984*x^12 + 588965081904579090753379834495336497432231936*x^11 - 2452149556812431734288730748483416516672919552*x^10 - 909771333273449088166952252036373101941260288*x^9 + 3315075244224169683128864219876316460527242496*x^8 - 1328745536627483677402604782236300797696114688*x^7 + 233652372646757361277962446569048825630841600*x^6 - 496384669215881328736542076671377751281442816*x^5 + 181608301761488092066520003882364294698732112*x^4 + 32364062877967087927152792202695183769150464*x^3 + 57237180126344912742849262082723164024024296*x^2 - 52802232704395914996496198253814814446940800*x + 9397013563801220260585642138507763608261875
138,1rsr,11s1sss,0.410836,0.151397,0.933093,0.933093,L,560*r^5 + 323*r^4 - 20*r^3 - 50*r^2 - 12*r - 1,128*s^5 + 252*s^4 + 156*s^3 + 27*s^2 - 2*s - 1,1,2,4,0,2,0,0,8,0,0,0,4,0,10976000*x^5 - 41324156*x^4 + 60407904*x^3 - 41472539*x^2 + 18476112*x - 3115628
139,1rsr,1r1r1ss,0.846951,0.252651,0.916585,0.916585,L,8*r^7 - 5*r^6 + 46*r^5 + 45*r^4 - 20*r^3 - 31*r^2 - 10*r - 1,16*s^7 + 80*s^6 + 184*s^5 + 168*s^4 + 65*s^3 + 5*s^2 - 5*s - 1,1,2,2,0,0,0,4,4,0,0,0,2,0,4194304*x^7 + 16269312*x^6 + 25845760*x^5 + 3708416*x^4 - 31641472*x^3 - 18316620*x^2 - 7754336*x + 4515073
140,1rsr,1r1s1sss,0.728714,0.228714,0.926128,0.926128,L,6*r^2 - 3*r - 1,6*s^2 + 3*s - 1,1,2,4,0,0,0,2,8,0,0,0,4,0,1024*x^4 - 16797*x^2 + 1452
141,1rsr,1rr1ss,0.283697,0.113037,0.940871,0.940871,H,3*r^3 - 45*r^2 + 9*r + 1,12*s^3 - 9*s + 1,1,6,6,0,0,0,6,12,0,2,0,6,0,4194304*x^6 - 13160374272*x^4 + 84895648740*x^2 - 7508702523
